epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
122,3087.73,0.86377,0.68104,1.3801,0.02556,0.91743,0.89513,0.9586,0.81645,0.61114,0.40142,1.21278,0.01215,0.0040105,0.0040105,0.0040105
123,3112.84,0.87978,0.69196,1.36993,0.02578,0.91029,0.90421,0.95934,0.81693,0.6091,0.40288,1.2112,0.01197,0.003961,0.003961,0.003961
124,3138.31,0.8578,0.67038,1.3703,0.02404,0.90726,0.90586,0.95937,0.81619,0.61055,0.40292,1.21288,0.01193,0.0039115,0.0039115,0.0039115
125,3163.52,0.86854,0.68214,1.37975,0.02545,0.90764,0.90339,0.95908,0.81656,0.60969,0.40159,1.21257,0.01188,0.003862,0.003862,0.003862
126,3188.9,0.87039,0.67574,1.37901,0.02542,0.91243,0.90337,0.95938,0.81604,0.60798,0.40321,1.21389,0.01185,0.0038125,0.0038125,0.0038125
127,3214.11,0.8609,0.67084,1.36932,0.02477,0.91068,0.90421,0.95946,0.81614,0.60771,0.4005,1.21316,0.01178,0.003763,0.003763,0.003763
128,3239.29,0.86499,0.67969,1.37005,0.02362,0.91731,0.90008,0.95946,0.81743,0.60758,0.39981,1.21253,0.01163,0.0037135,0.0037135,0.0037135
129,3264.58,0.8608,0.67126,1.37369,0.02554,0.92157,0.89513,0.96034,0.81798,0.60733,0.39925,1.21142,0.01168,0.003664,0.003664,0.003664
130,3289.89,0.86362,0.67132,1.36865,0.02513,0.9238,0.8943,0.96045,0.81783,0.60662,0.39798,1.21042,0.01178,0.0036145,0.0036145,0.0036145
131,3315.11,0.86182,0.67188,1.37387,0.02448,0.92114,0.89348,0.96016,0.8175,0.60699,0.39788,1.20949,0.01166,0.003565,0.003565,0.003565
132,3340.12,0.85422,0.66088,1.36381,0.02463,0.91667,0.89934,0.96038,0.81767,0.60641,0.39643,1.21005,0.01166,0.0035155,0.0035155,0.0035155
133,3365.31,0.84736,0.64349,1.35926,0.02406,0.91765,0.90179,0.95994,0.81744,0.60653,0.39579,1.2097,0.01156,0.003466,0.003466,0.003466
134,3390.49,0.86327,0.66914,1.36938,0.02505,0.91704,0.90369,0.96063,0.81763,0.60648,0.39579,1.21029,0.0114,0.0034165,0.0034165,0.0034165
135,3415.64,0.84752,0.65692,1.36519,0.02417,0.92351,0.89678,0.96079,0.81811,0.60694,0.39657,1.21064,0.01143,0.003367,0.003367,0.003367
136,3440.75,0.84651,0.65459,1.34877,0.02349,0.91702,0.90421,0.96021,0.81765,0.60647,0.39735,1.21025,0.01157,0.0033175,0.0033175,0.0033175
137,3465.97,0.85024,0.65456,1.36611,0.02371,0.92448,0.89972,0.96034,0.81815,0.60711,0.39706,1.21028,0.0115,0.003268,0.003268,0.003268
138,3491.25,0.84742,0.64963,1.35525,0.02408,0.92252,0.90091,0.96023,0.8191,0.60706,0.39617,1.2096,0.0114,0.0032185,0.0032185,0.0032185
139,3516.54,0.83747,0.64424,1.35399,0.02428,0.92604,0.89956,0.96041,0.81906,0.60719,0.39604,1.21023,0.01139,0.003169,0.003169,0.003169
140,3541.57,0.8378,0.64214,1.35564,0.02389,0.92602,0.89513,0.95991,0.81892,0.60759,0.39584,1.20986,0.01147,0.0031195,0.0031195,0.0031195
141,3567.14,0.83999,0.64526,1.34959,0.02314,0.9267,0.89779,0.95991,0.81963,0.60675,0.39525,1.20923,0.01147,0.00307,0.00307,0.00307
142,3592.46,0.84225,0.64744,1.36251,0.02312,0.93051,0.89572,0.95983,0.81905,0.60608,0.39499,1.20968,0.01133,0.0030205,0.0030205,0.0030205
143,3617.66,0.83306,0.64301,1.35643,0.02416,0.92905,0.8943,0.95919,0.81937,0.60578,0.39649,1.20981,0.01126,0.002971,0.002971,0.002971
144,3642.85,0.83416,0.63773,1.34779,0.02247,0.92928,0.89348,0.96009,0.8198,0.60647,0.39601,1.21014,0.01126,0.0029215,0.0029215,0.0029215
145,3668.13,0.82183,0.62001,1.34629,0.02316,0.9318,0.89182,0.95967,0.81875,0.60645,0.39574,1.2102,0.01131,0.002872,0.002872,0.002872
146,3693.37,0.83668,0.6366,1.35854,0.02376,0.93323,0.88863,0.95987,0.81901,0.6066,0.39483,1.21124,0.01125,0.0028225,0.0028225,0.0028225
147,3718.6,0.83025,0.635,1.35551,0.02304,0.93186,0.89216,0.9603,0.81937,0.60716,0.39339,1.21151,0.01125,0.002773,0.002773,0.002773
148,3743.79,0.83765,0.63932,1.3517,0.02445,0.93262,0.89265,0.95981,0.81891,0.60685,0.39314,1.21179,0.01115,0.0027235,0.0027235,0.0027235
149,3768.92,0.84228,0.64116,1.35339,0.023,0.92952,0.893,0.96053,0.81917,0.60704,0.39242,1.21146,0.01112,0.002674,0.002674,0.002674
150,3794.06,0.82724,0.63028,1.34407,0.02331,0.93252,0.891,0.96037,0.81952,0.60651,0.39214,1.21109,0.01111,0.0026245,0.0026245,0.0026245
151,3819.23,0.82313,0.6294,1.34197,0.02325,0.93155,0.89182,0.95991,0.81955,0.60657,0.39232,1.21123,0.01114,0.002575,0.002575,0.002575
152,3844.42,0.83982,0.64013,1.35781,0.02424,0.93256,0.89063,0.95996,0.81961,0.60608,0.39269,1.21131,0.01114,0.0025255,0.0025255,0.0025255
153,3869.47,0.8253,0.62258,1.33901,0.02214,0.92954,0.89348,0.96049,0.82011,0.60575,0.39233,1.21001,0.01114,0.002476,0.002476,0.002476
154,3894.8,0.81621,0.61405,1.33786,0.02347,0.93171,0.891,0.96033,0.81898,0.60604,0.39296,1.2101,0.01113,0.0024265,0.0024265,0.0024265
155,3920.06,0.82082,0.61855,1.34016,0.02321,0.93323,0.88876,0.96016,0.81887,0.60562,0.39287,1.21002,0.0111,0.002377,0.002377,0.002377
156,3945.35,0.831,0.6306,1.34395,0.02383,0.9348,0.88789,0.96019,0.81878,0.60575,0.39342,1.20995,0.0111,0.0023275,0.0023275,0.0023275
157,3970.35,0.81982,0.60963,1.3443,0.02321,0.93473,0.88699,0.95981,0.81872,0.60576,0.39329,1.20992,0.01108,0.002278,0.002278,0.002278
158,3995.53,0.82775,0.61935,1.35017,0.02281,0.93323,0.88866,0.96,0.81864,0.60534,0.39394,1.20952,0.01106,0.0022285,0.0022285,0.0022285
159,4020.7,0.81517,0.60942,1.33601,0.02318,0.93394,0.88732,0.95989,0.81925,0.60504,0.39366,1.20879,0.01102,0.002179,0.002179,0.002179
160,4045.88,0.81198,0.61183,1.33129,0.02267,0.93384,0.88585,0.95987,0.81876,0.60469,0.39425,1.2084,0.01096,0.0021295,0.0021295,0.0021295
