epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
121,3086.18,0.80984,0.6211,1.33917,0.01711,0.91343,0.91577,0.96185,0.82086,0.60497,0.38825,1.20498,0.01167,0.00406,0.00406,0.00406
122,3112.17,0.80658,0.61484,1.3366,0.01707,0.91124,0.91554,0.96279,0.82061,0.60496,0.38833,1.20346,0.01145,0.0040105,0.0040105,0.0040105
123,3137.33,0.81812,0.61704,1.33279,0.01746,0.91287,0.90843,0.96171,0.8192,0.6035,0.38917,1.20265,0.0115,0.003961,0.003961,0.003961
124,3162.56,0.79824,0.60202,1.3276,0.0164,0.90851,0.91247,0.96116,0.81971,0.60353,0.38796,1.20182,0.01148,0.0039115,0.0039115,0.0039115
125,3188,0.81378,0.61664,1.34203,0.01725,0.91282,0.91329,0.96089,0.81924,0.60322,0.38746,1.20252,0.01139,0.003862,0.003862,0.003862
126,3213.04,0.81528,0.61207,1.33876,0.0174,0.91399,0.91329,0.96142,0.81967,0.60238,0.38639,1.20251,0.01132,0.0038125,0.0038125,0.0038125
127,3238.27,0.80679,0.60117,1.33314,0.01731,0.91304,0.91033,0.96152,0.82092,0.60406,0.38436,1.20328,0.01125,0.003763,0.003763,0.003763
128,3263.63,0.81221,0.61341,1.33753,0.01671,0.91786,0.90999,0.96146,0.82127,0.6047,0.38299,1.20419,0.01143,0.0037135,0.0037135,0.0037135
129,3289.01,0.80515,0.6012,1.33981,0.01691,0.91889,0.90742,0.96113,0.8227,0.6062,0.38284,1.20462,0.01139,0.003664,0.003664,0.003664
130,3314.39,0.80622,0.60739,1.33032,0.01646,0.91618,0.91161,0.96173,0.82331,0.60538,0.38076,1.20448,0.0115,0.0036145,0.0036145,0.0036145
131,3339.53,0.80094,0.60349,1.33668,0.01646,0.92657,0.89608,0.96136,0.82214,0.60526,0.38143,1.2041,0.01149,0.003565,0.003565,0.003565
132,3364.9,0.80309,0.59984,1.332,0.01655,0.93058,0.8943,0.96139,0.82225,0.60468,0.3815,1.20371,0.0114,0.0035155,0.0035155,0.0035155
133,3390.1,0.7924,0.58583,1.32362,0.01652,0.92326,0.90406,0.96124,0.82189,0.60503,0.38209,1.20318,0.01137,0.003466,0.003466,0.003466
134,3415.13,0.80529,0.60494,1.32895,0.01682,0.93063,0.89731,0.96135,0.82232,0.60428,0.38407,1.20213,0.01133,0.0034165,0.0034165,0.0034165
135,3440.31,0.79473,0.59502,1.32366,0.01607,0.93303,0.89735,0.96094,0.82186,0.60361,0.38492,1.20201,0.01133,0.003367,0.003367,0.003367
136,3465.47,0.79027,0.58855,1.31665,0.01671,0.92876,0.89843,0.961,0.82216,0.60215,0.38266,1.20162,0.01148,0.0033175,0.0033175,0.0033175
137,3490.67,0.798,0.58922,1.33005,0.01688,0.93095,0.89926,0.96102,0.82362,0.60274,0.38163,1.20176,0.01144,0.003268,0.003268,0.003268
138,3515.79,0.7828,0.57821,1.31691,0.01619,0.92754,0.90173,0.96113,0.82427,0.60242,0.38068,1.20237,0.01143,0.0032185,0.0032185,0.0032185
139,3541.22,0.7813,0.57268,1.3171,0.01709,0.92763,0.90008,0.96105,0.82392,0.60273,0.38035,1.20314,0.01141,0.003169,0.003169,0.003169
140,3566.82,0.78657,0.58288,1.32214,0.0168,0.92752,0.89926,0.96104,0.82388,0.60177,0.38152,1.20217,0.01141,0.0031195,0.0031195,0.0031195
